datetime,ventas
2024-01-01 15:00:00,200.6
2024-01-01 16:00:00,174.9
2024-01-01 17:00:00,204.9
2024-01-01 18:00:00,282.2
2024-01-01 19:00:00,249.8
2024-01-01 20:00:00,147.7
2024-01-01 21:00:00,166.9
2024-01-01 22:00:00,32.2
2024-01-01 23:00:00,24.9
2024-01-02 15:00:00,17.1
2024-01-02 16:00:00,57.1
2024-01-02 17:00:00,107.2
2024-01-02 18:00:00,196.3
2024-01-02 19:00:00,301.0
2024-01-02 20:00:00,153.8
2024-01-02 21:00:00,29.9
2024-01-02 22:00:00,19.4
2024-01-03 14:00:00,13.9
2024-01-03 15:00:00,137.9
2024-01-03 16:00:00,80.3
2024-01-03 17:00:00,125.1
2024-01-03 18:00:00,205.3
2024-01-03 19:00:00,250.9
2024-01-03 20:00:00,330.9
2024-01-03 21:00:00,101.2
2024-01-03 22:00:00,195.7
2024-01-03 23:00:00,65.7
2024-01-04 00:00:00,8.0
2024-01-04 14:00:00,35.199999999999996
2024-01-04 15:00:00,90.6
2024-01-04 16:00:00,82.1
2024-01-04 17:00:00,96.3
2024-01-04 18:00:00,262.9
2024-01-04 19:00:00,167.4
2024-01-04 20:00:00,185.8
2024-01-04 21:00:00,99.2
2024-01-04 22:00:00,125.6
2024-01-04 23:00:00,37.1
2024-01-05 13:00:00,30.6
2024-01-05 14:00:00,21.4
2024-01-05 15:00:00,38.5
2024-01-05 16:00:00,54.9
2024-01-05 17:00:00,163.1
2024-01-05 18:00:00,251.8
2024-01-05 19:00:00,195.6
2024-01-05 20:00:00,64.9
2024-01-05 21:00:00,83.89999999999999
2024-01-05 22:00:00,58.4
2024-01-05 23:00:00,22.7
2024-01-06 13:00:00,94.7
2024-01-06 14:00:00,28.8
2024-01-06 15:00:00,8.2
2024-01-06 16:00:00,68.3
2024-01-06 17:00:00,73.3
2024-01-06 18:00:00,81.5
2024-01-06 19:00:00,140.6
2024-01-06 20:00:00,57.3
2024-01-06 21:00:00,35.199999999999996
2024-01-06 22:00:00,62.1
2024-01-06 23:00:00,67.8
2024-01-07 13:00:00,69.0
2024-01-07 14:00:00,7.6
2024-01-07 15:00:00,74.5
2024-01-07 16:00:00,101.7
2024-01-07 17:00:00,98.3
2024-01-07 18:00:00,101.39999999999999
2024-01-07 19:00:00,113.7
2024-01-07 20:00:00,86.1
2024-01-07 21:00:00,20.3
2024-01-07 22:00:00,18.4
2024-01-08 12:00:00,4.699999999999999
2024-01-08 13:00:00,13.0
2024-01-08 14:00:00,5.8
2024-01-08 15:00:00,21.299999999999997
2024-01-08 16:00:00,28.200000000000003
2024-01-08 17:00:00,31.0
2024-01-08 18:00:00,82.2
2024-01-08 19:00:00,56.0
2024-01-08 20:00:00,37.2
2024-01-08 21:00:00,15.9
2024-01-10 13:00:00,2.9
2024-01-10 15:00:00,31.5
2024-01-10 16:00:00,2.9
2024-01-10 17:00:00,11.6
2024-01-10 18:00:00,29.8
2024-01-10 19:00:00,84.9
2024-01-10 21:00:00,15.8
2024-01-11 12:00:00,2.0
2024-01-11 13:00:00,0.0
2024-01-11 14:00:00,2.9
2024-01-11 15:00:00,13.100000000000001
2024-01-11 16:00:00,15.5
2024-01-11 17:00:00,18.2
2024-01-11 18:00:00,30.5
2024-01-11 19:00:00,74.3
2024-01-11 20:00:00,12.4
2024-01-11 21:00:00,3.3
2024-01-11 22:00:00,0.0
2024-01-12 12:00:00,0.0
2024-01-12 13:00:00,30.6
2024-01-12 14:00:00,14.100000000000001
2024-01-12 16:00:00,101.5
2024-01-12 17:00:00,68.8
2024-01-12 18:00:00,58.8
2024-01-12 19:00:00,166.6
2024-01-12 20:00:00,62.8
2024-01-12 21:00:00,40.2
2024-01-12 22:00:00,30.5
2024-01-12 23:00:00,71.8
2024-01-13 00:00:00,7.2
2024-01-13 13:00:00,29.4
2024-01-13 14:00:00,47.3
2024-01-13 15:00:00,119.5
2024-01-13 16:00:00,140.2
2024-01-13 17:00:00,79.0
2024-01-13 18:00:00,200.3
2024-01-13 19:00:00,217.9
2024-01-13 20:00:00,203.9
2024-01-13 21:00:00,65.5
2024-01-13 22:00:00,167.4
2024-01-13 23:00:00,193.6
2024-01-14 00:00:00,31.7
2024-01-14 13:00:00,2.0
2024-01-14 14:00:00,31.5
2024-01-14 15:00:00,48.1
2024-01-14 16:00:00,126.10000000000001
2024-01-14 17:00:00,75.5
2024-01-14 18:00:00,136.5
2024-01-14 19:00:00,151.6
2024-01-14 20:00:00,99.3
2024-01-14 21:00:00,23.099999999999998
2024-01-15 14:00:00,17.1
2024-01-15 15:00:00,40.0
2024-01-15 16:00:00,61.599999999999994
2024-01-15 17:00:00,75.1
2024-01-15 18:00:00,141.79999999999998
2024-01-15 19:00:00,65.7
2024-01-15 20:00:00,35.0
2024-01-15 21:00:00,16.7
2024-01-15 22:00:00,22.9
2024-01-17 14:00:00,13.8
2024-01-17 15:00:00,30.0
2024-01-17 16:00:00,22.8
2024-01-17 17:00:00,61.8
2024-01-17 18:00:00,130.7
2024-01-17 19:00:00,196.4
2024-01-17 20:00:00,86.0
2024-01-17 21:00:00,64.3
2024-01-17 22:00:00,28.200000000000003
2024-01-17 23:00:00,3.8
2024-01-18 12:00:00,11.0
2024-01-18 13:00:00,23.6
2024-01-18 14:00:00,35.1
2024-01-18 15:00:00,36.0
2024-01-18 16:00:00,14.7
2024-01-18 17:00:00,5.3
2024-01-18 18:00:00,37.8
2024-01-18 19:00:00,42.2
2024-01-18 20:00:00,59.4
2024-01-18 21:00:00,16.0
2024-01-18 22:00:00,6.6
2024-01-19 13:00:00,17.0
2024-01-19 14:00:00,9.0
2024-01-19 15:00:00,51.199999999999996
2024-01-19 16:00:00,9.7
2024-01-19 17:00:00,61.7
2024-01-19 18:00:00,53.7
2024-01-19 19:00:00,140.9
2024-01-19 20:00:00,41.8
2024-01-19 21:00:00,65.8
2024-01-19 22:00:00,57.2
2024-01-19 23:00:00,42.0
2024-01-20 00:00:00,20.5
2024-01-20 13:00:00,6.6
2024-01-20 14:00:00,36.1
2024-01-20 15:00:00,126.89999999999999
2024-01-20 16:00:00,194.3
2024-01-20 17:00:00,129.7
2024-01-20 18:00:00,165.0
2024-01-20 19:00:00,218.9
2024-01-20 20:00:00,260.1
2024-01-20 21:00:00,106.2
2024-01-20 22:00:00,97.8
2024-01-20 23:00:00,102.5
2024-01-21 00:00:00,46.400000000000006
2024-01-21 12:00:00,5.8
2024-01-21 13:00:00,55.7
2024-01-21 14:00:00,70.7
2024-01-21 15:00:00,169.4
2024-01-21 16:00:00,339.4
2024-01-21 17:00:00,430.2
2024-01-21 18:00:00,340.6
2024-01-21 19:00:00,289.5
2024-01-21 20:00:00,189.2
2024-01-21 21:00:00,86.8
2024-01-21 22:00:00,18.0
2024-01-21 23:00:00,37.300000000000004
2024-01-31 12:00:00,9.5
2024-01-31 13:00:00,6.3
2024-01-31 14:00:00,33.5
2024-01-31 15:00:00,63.5
2024-01-31 16:00:00,67.5
2024-01-31 17:00:00,125.1
2024-01-31 18:00:00,180.9
2024-01-31 19:00:00,134.6
2024-01-31 20:00:00,57.7
2024-01-31 21:00:00,51.1
2024-01-31 22:00:00,60.2
2024-01-31 23:00:00,10.7
2024-02-01 13:00:00,20.3
2024-02-01 14:00:00,9.0
2024-02-01 15:00:00,26.4
2024-02-01 16:00:00,39.2
2024-02-01 17:00:00,33.6
2024-02-01 18:00:00,104.7
2024-02-01 19:00:00,90.3
2024-02-01 20:00:00,43.400000000000006
2024-02-01 21:00:00,5.8
2024-02-01 22:00:00,68.3
2024-02-01 23:00:00,16.5
2024-02-02 11:00:00,30.0
2024-02-02 12:00:00,6.6
2024-02-02 13:00:00,121.0
2024-02-02 14:00:00,35.2
2024-02-02 15:00:00,49.4
2024-02-02 16:00:00,107.6
2024-02-02 17:00:00,136.8
2024-02-02 18:00:00,108.0
2024-02-02 19:00:00,169.70000000000002
2024-02-02 20:00:00,164.8
2024-02-02 21:00:00,97.9
2024-02-02 22:00:00,153.4
2024-02-02 23:00:00,101.4
2024-02-03 00:00:00,26.0
2024-02-03 12:00:00,2.9
2024-02-03 13:00:00,10.3
2024-02-03 14:00:00,86.7
2024-02-03 15:00:00,243.1
2024-02-03 16:00:00,305.6
2024-02-03 17:00:00,288.6
2024-02-03 18:00:00,290.8
2024-02-03 19:00:00,259.1
2024-02-03 20:00:00,108.1
2024-02-03 21:00:00,224.0
2024-02-03 22:00:00,166.3
2024-02-03 23:00:00,121.9
2024-02-04 00:00:00,80.3
2024-02-04 13:00:00,11.5
2024-02-04 14:00:00,111.4
2024-02-04 15:00:00,294.8
2024-02-04 16:00:00,274.0
